subject_name,course_name,course_url
Programming Courses,Responsive Web Design,https://www.classcentral.com/course/freecodecamp-responsive-web-design-34059
Programming Courses,Data Science and Agile Systems for Product Management,https://www.classcentral.com/course/edx-data-science-and-agile-systems-for-product-management-19101
Programming Courses,Data Processing and Feature Engineering with MATLAB,https://www.classcentral.com/course/feature-engineering-matlab-17127
Programming Courses,Introduction to Databases,https://www.classcentral.com/course/db-303
Programming Courses,Computing in Python III: Data Structures,https://www.classcentral.com/course/edx-computing-in-python-iii-data-structures-11471
Programming Courses,Introduction to video game development with Unity,https://www.classcentral.com/course/edx-introduction-to-video-game-development-with-unity-18138
Programming Courses,Julia Scientific Programming,https://www.classcentral.com/course/julia-programming-7092
Programming Courses,Programming Mobile Applications for Android Handheld Systems: Part 1,https://www.classcentral.com/course/androidpart1-1178
Programming Courses,"HTML, CSS, and Javascript for Web Developers",https://www.classcentral.com/course/html-css-javascript-for-web-developers-4270
Programming Courses,"Responsive Website Basics: Code with HTML, CSS, and JavaScript ",https://www.classcentral.com/course/website-coding-4191
Programming Courses,"C++ For C Programmers, Part A",https://www.classcentral.com/course/c-plus-plus-a-671
Business Courses,The Digital Marketing Revolution,https://www.classcentral.com/course/digital-marketing-revolution-54370
Business Courses,Marketing in a Digital World,https://www.classcentral.com/course/dmdigitalworld-2750
Business Courses,Digital Marketing,https://www.classcentral.com/course/swayam-digital-marketing-14006
Business Courses,Protecting Business Innovations via Patent,https://www.classcentral.com/course/protect-business-innovations-patent-10382
Business Courses,FinTech Foundations and Overview,https://www.classcentral.com/course/fintech-11193
Business Courses,Product Management Fundamentals,https://www.classcentral.com/course/edx-product-management-fundamentals-19098
Business Courses,Managing Conflicts on Projects with Cultural and Emotional Intelligence,https://www.classcentral.com/course/edx-managing-conflicts-on-projects-with-cultural-and-emotional-intelligence-19747
Business Courses,Agile Leadership Principles and Practices,https://www.classcentral.com/course/edx-agile-leadership-principles-and-practices-11920
Business Courses,Agile Innovation and Problem Solving Skills,https://www.classcentral.com/course/edx-agile-innovation-and-problem-solving-skills-11919
Business Courses,Applied Scrum for Agile Project Management,https://www.classcentral.com/course/edx-applied-scrum-for-agile-project-management-11917
Business Courses,"Agile Process, Project, and Program Controls",https://www.classcentral.com/course/edx-agile-process-project-and-program-controls-11921
Business Courses,Sprint Planning for Faster Agile Team Delivery,https://www.classcentral.com/course/edx-sprint-planning-for-faster-agile-team-delivery-11918
Business Courses,Marketing Digital: Content & Community Manager,https://www.classcentral.com/course/edx-marketing-digital-content-community-manager-10386
Business Courses,Sustainable Tourism: Society & Environmental Aspects,https://www.classcentral.com/course/edx-sustainable-tourism-society-environmental-aspects-10356
Business Courses,Lean Production,https://www.classcentral.com/course/edx-lean-production-8447
Art & Design Courses,Introduction to Classical Music,https://www.classcentral.com/course/introclassicalmusic-2987
Art & Design Courses,Radio para internet con Podcast: creación y conceptos básicos,https://www.classcentral.com/course/edx-radio-para-internet-con-podcast-creacion-y-conceptos-basicos-11824
Art & Design Courses,18th-Century Opera: Handel & Mozart,https://www.classcentral.com/course/edx-18th-century-opera-handel-mozart-12061
Art & Design Courses,Songwriting: Writing the Lyrics,https://www.classcentral.com/course/songwriting-lyrics-523
Art & Design Courses,Exposing Digital Photography,https://www.classcentral.com/course/independent-exposing-digital-photography-8091
Art & Design Courses,Fundamentals of Music Theory,https://www.classcentral.com/course/musictheory-1358
Art & Design Courses,Human-Centered Design: an Introduction,https://www.classcentral.com/course/human-computer-interaction-4287
Art & Design Courses,First Nights - Handel's Messiah and Baroque Oratorio,https://www.classcentral.com/course/edx-first-nights-handel-s-messiah-and-baroque-oratorio-4548
Art & Design Courses,First Nights - Beethoven's 9th Symphony and the 19th Century Orchestra,https://www.classcentral.com/course/edx-first-nights-beethoven-s-9th-symphony-and-the-19th-century-orchestra-5383
Art & Design Courses,First Nights - Monteverdi’s L’Orfeo and the Birth of Opera,https://www.classcentral.com/course/edx-first-nights-monteverdi-s-l-orfeo-and-the-birth-of-opera-6365
Art & Design Courses,Ignite Your Everyday Creativity,https://www.classcentral.com/course/creative-3139
Art & Design Courses,The Film Experience (Fall 2013),https://www.classcentral.com/course/mit-opencourseware-the-film-experience-fall-2013-40957/classroom
Art & Design Courses,First Nights - Berlioz’s Symphonie Fantastique and Program Music in the 19th Century,https://www.classcentral.com/course/edx-first-nights-berlioz-s-symphonie-fantastique-and-program-music-in-the-19th-century-6612
Art & Design Courses,"First Nights - Stravinsky’s Rite of Spring: Modernism, Ballet, and Riots",https://www.classcentral.com/course/edx-first-nights-stravinsky-s-rite-of-spring-modernism-ballet-and-riots-7319
Art & Design Courses,3D Printing Applications,https://www.classcentral.com/course/3d-printing-applications-5986
Engineering Courses,Aircraft Systems Engineering (Fall 2005),https://www.classcentral.com/course/mit-opencourseware-aircraft-systems-engineering-fall-2005-40900/classroom
Engineering Courses,Going Places with Spatial Analysis,https://www.classcentral.com/course/independent-going-places-with-spatial-analysis-2341
Engineering Courses,Introducción a los encofrados y las cimbras en obra civil y edificación,https://www.classcentral.com/course/edx-introduccion-a-los-encofrados-y-las-cimbras-en-obra-civil-y-edificacion-11880
Engineering Courses,Spatial Data Science: The New Frontier in Analytics,https://www.classcentral.com/course/independent-spatial-data-science-the-new-frontier-in-analytics-17227
Engineering Courses,Artificial Intelligence for Robotics,https://www.classcentral.com/course/udacity-artificial-intelligence-for-robotics-319
Engineering Courses,"Mechanics of Materials IV: Deflections, Buckling, Combined Loading & Failure Theories",https://www.classcentral.com/course/materials-structures-6188
